age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,class
33,175412,14,0,0,43,>50K
21,205759,8,0,0,38,<=50K
23,205757,9,0,0,41,<=50K
40,220532,14,0,0,59,>50K
40,220529,14,1,0,60,>50K
23,371986,11,0,0,39,<=50K
23,371987,14,0,0,40,<=50K
35,200350,11,0,1,45,<=50K
38,200351,13,1,1,44,<=50K
29,220418,12,1,0,54,<=50K
28,220419,11,0,1,56,<=50K
25,248402,12,0,1,38,<=50K
27,248401,12,1,0,40,<=50K
36,57423,12,0,0,61,<=50K
40,57423,13,0,0,59,<=50K
37,169469,9,1,0,79,<=50K
39,169468,9,1,1,79,<=50K
23,153716,9,0,1,24,<=50K
19,153717,9,0,1,25,>50K
55,238636,8,4385,0,39,>50K
54,238637,9,4386,0,40,>50K
44,173320,8,1,1,39,<=50K
42,173319,8,0,1,38,<=50K
46,83081,11,0,0,32,<=50K
44,83081,11,0,1,34,<=50K
40,34987,9,1,0,53,>50K
40,34987,11,0,0,53,>50K
34,142897,14,7296,0,34,>50K
33,142896,12,7298,1,33,<=50K
20,199698,10,0,1,16,<=50K
21,199697,10,2,0,14,>50K
75,138714,9,0,0,40,<=50K
76,138713,8,0,0,40,<=50K
27,423159,10,0,0,41,<=50K
29,423157,9,0,1,39,<=50K
38,174307,7,0,0,39,<=50K
39,174307,9,1,0,39,<=50K
33,186110,8,0,0,45,<=50K
34,186112,8,2,1,44,<=50K
74,174308,14,0,1,8,<=50K
73,174311,12,0,1,9,<=50K
42,187726,11,0,1886,50,>50K
42,187729,10,0,1887,49,<=50K
65,127921,11,2049,1,56,<=50K
65,127922,10,2049,1,55,<=50K
26,224562,13,1,0,39,<=50K
25,224562,12,0,0,40,<=50K
54,98546,5,0,0,41,<=50K
55,98543,5,0,0,39,<=50K
19,270941,2,0,0,47,<=50K
17,270941,1,1,0,48,<=50K
48,71194,15,1,0,59,<=50K
48,71195,16,1,0,61,<=50K
44,261193,8,1,0,40,<=50K
44,261192,8,0,1,40,<=50K
39,296477,9,7296,1,39,>50K
37,296478,10,7297,1,40,<=50K
33,85042,6,0,0,20,<=50K
34,85041,8,0,1,19,>50K
45,241896,13,1,0,41,<=50K
43,241896,13,0,0,41,<=50K
30,156462,11,2,0,24,<=50K
31,156463,12,1,0,22,<=50K
26,192261,9,0,0,41,<=50K
24,192261,10,0,0,38,>50K
44,329753,6,0,0,30,<=50K
47,329754,8,0,0,31,>50K
64,161399,7,0,1,39,<=50K
65,161399,7,1,1,38,>50K
42,111948,10,0,0,35,<=50K
41,111949,10,0,0,36,>50K
35,348022,5,0,0,23,<=50K
35,348022,3,0,0,23,<=50K
41,180610,12,1,1,44,<=50K
45,180610,14,0,1,44,>50K
22,410439,8,0,1,53,<=50K
22,410439,10,1,0,55,>50K
59,183080,8,1,0,44,<=50K
55,183081,9,0,1,46,<=50K
56,212445,12,0,0,44,>50K
55,212446,13,0,0,44,<=50K
27,185885,10,1,0,15,<=50K
24,185885,9,0,0,14,<=50K
39,184018,9,1,1,37,>50K
39,184017,9,1,0,38,<=50K
44,160324,7,1,0,38,<=50K
42,160323,8,0,0,40,<=50K
33,267404,9,0,0,39,<=50K
31,267404,8,0,0,38,<=50K
45,80914,14,0,0,28,<=50K
46,80914,15,0,0,29,<=50K
54,174318,8,1,2,40,<=50K
54,174318,8,0,0,39,<=50K
25,344990,9,1,0,39,<=50K
23,344989,9,1,0,38,<=50K
34,117312,8,0,1,38,<=50K
33,117311,8,0,0,41,<=50K
28,134152,9,1,0,40,<=50K
28,134152,8,1,0,38,<=50K
17,25428,11,1,0,16,<=50K
18,25428,9,1,1,15,>50K
35,220097,9,0,0,40,>50K
34,220097,7,1,0,38,<=50K
45,277945,12,0,0,40,<=50K
44,277945,11,1,0,41,<=50K
44,115561,9,0,1,40,<=50K
44,115561,9,1,0,39,<=50K
25,86871,11,1,0,55,>50K
26,86872,12,0,0,56,<=50K
17,416101,8,1,1,39,<=50K
20,416101,10,1,1,39,>50K
49,288352,13,0,1,41,>50K
49,288351,13,0,0,37,<=50K
28,166481,3,0,2179,38,<=50K
28,166480,3,0,2178,38,<=50K
29,110145,8,0,0,39,<=50K
27,110144,8,0,0,38,>50K
31,364657,10,1,0,49,<=50K
31,364657,9,1,1,51,<=50K
24,241950,9,0,1,40,<=50K
25,241950,9,2,0,40,<=50K
44,188386,15,15023,1,58,>50K
45,188386,15,15023,0,60,<=50K
33,92440,8,0,0,50,>50K
34,92439,8,1,0,49,<=50K
29,426016,5,0,1,19,<=50K
29,426017,7,0,0,19,<=50K
31,240282,8,0,1,40,<=50K
33,240282,7,0,0,39,<=50K
17,175024,8,2176,1,17,<=50K
16,175025,8,2175,1,18,<=50K
30,188399,9,1,1,41,<=50K
29,188402,9,0,0,39,>50K
24,133372,10,2,1,59,<=50K
23,133372,8,0,0,61,<=50K
25,204653,8,0,1,71,<=50K
22,204651,9,1,2,71,<=50K
47,287478,13,0,1,41,<=50K
45,287480,13,0,0,40,>50K
31,29660,13,0,1,25,>50K
29,29663,12,0,0,23,<=50K
32,208404,13,0,0,49,>50K
34,208403,13,0,0,49,<=50K
32,117016,10,1,2,40,<=50K
32,117018,11,0,0,40,<=50K
41,340148,10,0,0,39,<=50K
41,340148,9,0,0,39,<=50K
45,45855,9,2,0,26,<=50K
44,45857,10,1,0,28,<=50K
44,116632,10,1,0,39,>50K
43,116632,9,0,0,40,<=50K
19,298226,8,1,1,35,<=50K
22,298228,10,0,0,33,<=50K
50,56915,8,0,1,39,<=50K
50,56916,9,0,0,41,<=50K
19,206400,9,0,1,39,<=50K
18,206399,9,2,0,40,<=50K
60,245062,8,0,1,40,>50K
61,245063,10,0,0,40,>50K
39,72887,9,0,0,38,>50K
39,72887,11,0,1,39,>50K
37,351299,10,0,0,49,<=50K
38,351298,7,0,0,50,<=50K
42,116631,12,1,0,39,<=50K
44,116631,11,0,1,38,<=50K
33,132601,13,0,1,50,<=50K
31,132599,12,0,0,50,<=50K
23,170069,12,0,0,19,<=50K
24,170069,13,1,1,21,<=50K
52,35597,8,1,0,42,<=50K
51,35598,8,0,1,39,<=50K
47,192776,13,1,1978,44,>50K
47,192777,14,0,1975,44,<=50K
60,201965,9,0,1,41,>50K
60,201966,8,0,0,37,>50K
29,303990,9,0,0,61,<=50K
31,303990,8,0,0,61,<=50K
46,279195,12,0,0,39,<=50K
44,279197,12,0,0,38,<=50K
21,281433,10,0,0,29,<=50K
20,281433,10,0,0,29,<=50K
23,197904,9,0,0,35,<=50K
22,197902,8,0,1,33,<=50K
43,170721,9,1,0,20,<=50K
42,170719,10,0,0,18,<=50K
40,193627,10,1,0,39,<=50K
41,193625,10,1,0,40,<=50K
57,286967,6,1,0,45,<=50K
61,286968,10,0,1,44,<=50K
37,91038,12,15023,0,59,>50K
37,91040,12,15022,0,60,<=50K
46,371372,8,0,0,37,<=50K
46,371373,9,1,0,38,<=50K
32,187250,8,0,0,26,<=50K
33,187250,9,1,1,24,<=50K
40,343121,8,0,1,33,<=50K
39,343121,9,0,0,37,<=50K
20,403107,4,0,1,41,<=50K
22,403106,2,1,2,40,<=50K
23,324959,9,1,0,40,<=50K
23,324958,8,0,0,39,<=50K
51,48922,9,1,0,39,<=50K
52,48925,10,0,1,40,<=50K
24,181055,14,1,0,39,<=50K
25,181054,11,0,0,40,<=50K
19,249607,10,1,0,8,<=50K
17,249608,9,1,0,8,<=50K
45,543161,7,0,0,40,<=50K
48,543160,8,1,0,39,<=50K
49,141943,10,0,1379,40,<=50K
48,141947,11,0,1382,40,<=50K
35,337587,10,0,1,47,>50K
33,337587,9,1,1,47,<=50K
24,267042,10,0,0,18,<=50K
25,267044,10,1,0,20,<=50K
38,99145,12,15023,1,80,>50K
37,99145,13,15023,0,80,>50K
23,248343,9,0,0,50,<=50K
25,248344,10,0,0,51,>50K
43,177904,11,0,1,56,>50K
44,177905,8,0,0,57,>50K
40,221171,13,0,0,39,>50K
42,221169,12,0,1,40,<=50K
38,190387,8,0,0,50,<=50K
36,190385,9,0,1,49,<=50K
43,109338,7,0,0,46,<=50K
43,109338,7,0,1,46,<=50K
35,197200,8,0,2,39,<=50K
35,197202,10,0,0,38,<=50K
65,231559,15,20049,0,48,>50K
68,231557,15,20050,1,46,>50K
58,190942,1,1,0,29,<=50K
56,190941,1,0,1,29,<=50K
31,41492,14,1,1,43,<=50K
30,41492,12,0,1,44,<=50K
28,133935,15,0,0,41,<=50K
29,133937,16,0,0,40,<=50K
25,163861,8,0,0,40,<=50K
25,163861,9,2,0,39,<=50K
31,84176,10,0,1,45,<=50K
34,84180,8,0,2,45,<=50K
34,233328,10,0,0,38,<=50K
35,233326,10,0,1,39,<=50K
29,184829,9,1,0,39,<=50K
28,184829,8,0,0,39,<=50K
38,27052,7,1,0,38,<=50K
36,27051,6,0,0,41,<=50K
35,229327,8,0,0,42,<=50K
36,229327,10,1,0,40,<=50K
69,136217,7,0,0,40,<=50K
69,136216,7,0,0,39,>50K
34,148289,9,0,0,32,<=50K
32,148291,11,1,0,29,<=50K
27,114052,13,0,0,56,<=50K
26,114051,11,1,0,55,<=50K
47,264052,10,1,1,48,>50K
47,264053,11,0,0,49,>50K
51,334273,13,0,0,60,>50K
51,334273,13,0,0,59,<=50K
44,188436,13,5012,1,47,<=50K
40,188435,12,5014,0,44,<=50K
29,110664,8,1,0,35,<=50K
30,110664,9,2,1,37,<=50K
23,354352,8,0,0,39,<=50K
23,354350,7,0,2,41,<=50K
17,242717,7,0,1,12,<=50K
18,242718,7,0,1,10,<=50K
29,158155,14,1,2,69,<=50K
27,158156,15,1,0,70,>50K
34,28737,11,0,0,36,<=50K
35,28737,11,0,1,34,>50K
23,86646,10,1,0,44,<=50K
26,86646,9,0,0,46,<=50K
58,199713,8,0,0,40,<=50K
58,199713,7,0,0,40,>50K
31,340939,10,0,0,38,<=50K
31,340938,13,0,1,39,<=50K
29,34292,8,0,0,59,<=50K
29,34293,10,0,1,59,<=50K
52,25826,5,0,1886,47,>50K
50,25825,5,0,1886,46,<=50K
61,39351,5,0,0,48,>50K
59,39350,4,2,1,48,<=50K
21,117788,13,0,1,38,<=50K
23,117787,13,0,0,40,>50K
41,214241,15,0,1903,49,>50K
41,214240,14,0,1902,48,<=50K
48,136455,12,1,0,44,<=50K
47,136455,13,1,0,44,<=50K
19,217039,9,1,1,28,<=50K
18,217036,10,1,0,26,<=50K
43,175672,3,1,1,40,<=50K
41,175675,5,0,0,40,<=50K
49,45612,8,0,0,38,<=50K
48,45612,6,0,1,35,<=50K
29,182521,6,0,1,38,<=50K
28,182519,10,0,0,42,>50K
16,169656,3,0,0,23,<=50K
16,169658,6,1,0,20,<=50K
23,247564,9,2,0,37,<=50K
23,247563,9,1,1,39,<=50K
27,208122,11,1055,1,39,<=50K
27,208123,12,1054,2,39,<=50K
38,207825,8,1,0,60,<=50K
40,207823,10,0,0,61,<=50K
48,114116,8,1,0,30,<=50K
49,114117,9,0,0,32,<=50K
47,102388,14,15024,0,44,>50K
46,102388,14,15022,0,45,<=50K
45,462439,5,0,1,19,<=50K
44,462438,6,0,0,21,<=50K
28,34381,10,1,1,55,<=50K
27,34382,11,2,1,54,<=50K
29,124186,11,0,0,61,<=50K
31,124186,7,1,1,59,<=50K
37,267555,9,1,0,62,<=50K
36,267557,10,0,0,62,>50K
48,268091,12,1,1,24,>50K
48,268090,13,0,1,26,>50K
48,120452,5,0,0,37,<=50K
45,120451,6,0,1,39,<=50K
30,103648,11,0,0,40,>50K
31,103649,12,0,0,39,>50K
18,262601,8,0,0,15,<=50K
17,262600,7,0,0,14,<=50K
33,175694,13,15022,0,59,>50K
32,175696,12,15024,0,59,<=50K
53,289437,14,0,0,60,>50K
53,289436,15,0,0,59,<=50K
60,199378,9,0,0,39,<=50K
60,199377,8,1,0,38,<=50K
35,188563,10,5178,0,48,>50K
35,188562,8,5177,1,47,<=50K
51,195323,15,0,1,41,>50K
49,195321,16,0,0,40,<=50K
70,78277,8,1,0,15,<=50K
72,78278,8,1,0,14,<=50K
18,130959,10,1,1,19,<=50K
19,130958,9,0,0,20,>50K
37,292473,15,0,0,38,>50K
36,292472,16,1,1,39,<=50K
27,288340,8,0,0,32,<=50K
25,288339,10,1,1,32,<=50K
34,106742,9,0,0,44,<=50K
33,106744,8,1,1,44,<=50K
43,174524,8,0,0,40,>50K
41,174524,8,1,1,38,<=50K
36,261294,14,0,0,58,<=50K
34,261292,14,1,0,59,>50K
42,194359,13,0,0,38,<=50K
42,194359,13,0,0,37,<=50K
42,341205,11,8612,1,39,>50K
43,341205,9,8614,1,41,<=50K
41,247019,9,0,1,39,>50K
40,247022,9,0,0,41,<=50K
47,110456,9,0,0,39,<=50K
48,110457,9,0,0,39,<=50K
32,182556,14,0,0,39,>50K
32,182556,14,0,0,40,<=50K
21,240816,8,2596,0,41,<=50K
20,240816,8,2598,0,38,>50K
32,226267,10,1,2,37,<=50K
32,226266,10,0,1,39,<=50K
57,204020,8,0,0,50,<=50K
58,204021,9,0,0,48,<=50K
37,161139,12,1,1,42,>50K
38,161142,12,1,0,39,<=50K
22,430828,10,0,0,40,<=50K
24,430829,9,0,1,41,>50K
33,136719,9,0,0,39,<=50K
34,136719,9,0,0,38,<=50K
42,195123,14,1,0,35,<=50K
39,195124,14,0,0,35,<=50K
54,112999,10,0,0,40,<=50K
53,112997,10,1,0,39,<=50K
43,262425,11,0,0,50,<=50K
41,262424,11,0,0,51,<=50K
24,335451,13,0,0,20,<=50K
22,335451,14,0,0,20,<=50K
31,118708,14,0,1900,42,>50K
32,118709,13,0,1902,40,>50K
20,475028,7,0,1,19,<=50K
18,475027,9,0,0,20,<=50K
31,243605,12,0,1379,40,<=50K
31,243604,12,1,1379,40,<=50K
30,80144,10,0,0,41,<=50K
30,80145,9,1,0,40,<=50K
44,63042,13,1,0,50,>50K
42,63044,14,0,1,52,>50K
44,242551,9,1,0,41,<=50K
45,242552,8,1,0,39,<=50K
18,208103,5,0,0,25,<=50K
18,208101,6,0,0,22,<=50K
33,70279,9,0,0,40,<=50K
37,70282,10,0,1,40,<=50K
35,382635,11,1,0,34,<=50K
35,382636,15,1,1,34,<=50K
35,194140,7,1,0,41,<=50K
32,194140,8,0,0,40,<=50K
22,214397,9,1,0,14,<=50K
22,214398,11,0,0,14,<=50K
32,182554,11,0,0,38,<=50K
34,182555,8,1,0,40,>50K
29,271330,14,4650,0,39,<=50K
29,271327,11,4651,0,38,<=50K
43,162140,13,7297,1,45,>50K
40,162138,13,7297,1,45,>50K
19,299045,10,1,0,19,<=50K
20,299046,10,0,0,22,<=50K
21,352137,9,0,0,26,<=50K
22,352139,9,1,0,23,<=50K
26,181653,11,0,2376,44,<=50K
26,181654,10,1,2378,45,<=50K
34,234899,10,2406,0,40,<=50K
35,234903,10,2406,1,39,<=50K
44,260961,13,0,1,49,<=50K
45,260960,14,0,0,49,<=50K
42,279914,12,1,0,40,>50K
43,279914,13,1,0,39,<=50K
52,200939,10,0,0,71,<=50K
54,200938,8,0,1,73,<=50K
26,112848,10,0,1,39,<=50K
27,112845,11,1,0,40,>50K
41,126321,11,0,0,38,>50K
41,126319,14,0,0,40,<=50K
33,267734,9,0,0,39,<=50K
32,267736,11,1,1,41,>50K
44,193047,12,0,0,36,<=50K
46,193047,13,0,1,38,<=50K
21,223514,12,0,1,20,<=50K
21,223515,13,1,0,19,>50K
23,145110,8,0,0,49,<=50K
23,145109,9,2,0,49,<=50K
25,31757,12,1,0,39,<=50K
26,31756,10,0,0,36,<=50K
34,120061,12,0,0,43,<=50K
31,120063,13,0,1,43,>50K
35,103408,9,1,0,39,<=50K
36,103409,9,0,0,40,>50K
59,420536,9,1,0,38,>50K
59,420537,7,0,1,38,<=50K
52,128271,16,0,0,69,>50K
52,128272,16,0,0,70,<=50K
32,283268,7,1,0,43,<=50K
33,283267,6,0,1,40,>50K
22,151790,7,1,1,29,<=50K
22,151789,11,0,1,29,<=50K
30,188556,7,0,0,42,<=50K
34,188555,6,1,1,39,<=50K
36,327321,3,0,1,32,<=50K
37,327321,2,2,0,31,<=50K
36,280281,12,0,0,23,>50K
36,280281,11,1,0,23,<=50K
22,282578,10,0,0,56,<=50K
23,282578,10,3,0,55,<=50K
41,226900,13,2,1,50,>50K
43,226901,13,0,0,49,<=50K
29,196687,11,0,1668,41,<=50K
28,196691,10,0,1668,42,<=50K
42,49572,9,1,1,60,<=50K
41,49570,10,1,0,60,>50K
40,169626,10,0,1,37,<=50K
41,169626,10,1,1,38,>50K
18,231189,8,0,0,30,<=50K
18,231191,7,0,0,29,<=50K
42,32186,14,1,0,40,<=50K
41,32184,12,0,0,41,>50K
59,31575,9,0,0,60,>50K
60,31578,8,1,2,58,<=50K
62,128830,8,2,0,38,<=50K
61,128831,10,0,0,40,<=50K
46,90758,14,0,0,33,>50K
44,90756,13,0,0,33,<=50K
41,154537,10,0,1,40,<=50K
42,154537,14,0,1,39,>50K
68,315859,5,0,0,18,<=50K
67,315859,6,0,1,18,<=50K
14,193831,7,0,0,18,<=50K
18,193829,6,1,0,20,<=50K
34,169879,14,3102,0,46,>50K
33,169879,13,3102,2,47,>50K
18,138767,7,0,0,29,<=50K
19,138769,8,0,1,30,>50K
44,94112,10,1,0,44,<=50K
42,94112,10,0,0,45,<=50K
18,32607,6,1,0,19,<=50K
15,32608,4,1,0,19,<=50K
42,254439,11,0,0,61,<=50K
40,254441,10,1,0,58,<=50K
63,169869,10,1,0,45,<=50K
63,169871,9,0,1,42,>50K
46,167158,11,0,0,41,<=50K
49,167159,10,0,0,40,>50K
28,154412,10,0,1,37,<=50K
28,154411,9,0,1,39,<=50K
32,110330,10,2,1672,59,<=50K
31,110332,9,1,1670,59,<=50K
64,174355,8,0,1,40,<=50K
61,174354,8,0,0,41,>50K
44,233131,8,1,0,26,<=50K
43,233130,7,1,2,25,<=50K
52,194258,11,4384,0,40,>50K
54,194258,10,4385,0,39,<=50K
72,177386,7,0,0,38,<=50K
74,177386,7,0,1,40,<=50K
26,499232,8,0,1,40,<=50K
25,499233,9,0,0,40,<=50K
23,321434,12,0,0,49,<=50K
23,321434,13,0,0,50,>50K
16,198124,7,0,0,19,<=50K
19,198124,6,0,0,21,<=50K
50,146813,9,1,1,38,>50K
50,146812,10,0,0,40,<=50K
53,387569,9,4385,0,40,>50K
54,387568,10,4385,0,39,<=50K
38,33273,10,1,0,49,<=50K
40,33274,10,0,0,50,<=50K
